epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.619,1.79338,3.71711,1.79798,0.06789,0.11755,0.05903,0.01257,2.25656,5.83741,2.03972,0.00031673,0.00031673,0.00031673
2,802.377,1.81505,3.21563,1.72883,0.14197,0.31643,0.11536,0.05301,2.39632,6.25707,2.18396,0.000521404,0.000521404,0.000521404
3,1197.44,1.72449,2.57555,1.66141,0.33081,0.18921,0.16354,0.0501,2.44554,5.25591,2.28371,0.000594052,0.000594052,0.000594052
4,1586.71,1.6681,2.41782,1.60943,0.36742,0.43398,0.3391,0.13325,2.27853,4.32499,2.05489,0.000534674,0.000534674,0.000534674
5,1977.84,1.58507,2.18841,1.5422,0.43056,0.28664,0.26725,0.11461,2.20553,2.44729,2.03504,0.000343269,0.000343269,0.000343269
